producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
Bicarbonato a granel x kg,Genérico,Frutas y Verduras,7751234013122,Unidad,1,6.0,0
Bicarbonato sobre SM 1 und,Genérico,Bazar y Otros,,Unidad,1,0.5,0
Big Ben (UNIDAD) relleno,Big Ben,Confitería y Golosinas,,Unidad,1,0.2,85
big ben barra azul caramelo maní c/ choc. 40 gr,Big Ben,Confitería y Golosinas,7702993047927,Unidad,1,2.0,0
Big ben barra blanca caramelo maní  c/ chocol. blanco 40 gr,Big Ben,Confitería y Golosinas,7702993047941,Unidad,1,2.0,0
Big Ben Barra Choco Coco 40 gr,Big Ben,Confitería y Golosinas,7702993051573,Unidad,1,2.0,0
Big ben barra malteada chocolates 36 gr,Big Ben,Confitería y Golosinas,7702993047842,Unidad,1,2.0,0
Big ben bolsa blanco caramelo mani 55 g,Big Ben,Confitería y Golosinas,7702993048948,Unidad,1,2.5,0
big ben bolsa malteada chocolate 40 g,Big Ben,Confitería y Golosinas,7702993048924,Unidad,1,2.5,0
Big Ben caramelo & mani 55 gr,Big Ben,Confitería y Golosinas,7702993048931,Unidad,1,2.5,0
Big Ben Caramelo relleno Moka Bolsa x 100 unid,Big Ben,Confitería y Golosinas,7702993045435,Unidad,1,10.0,0
Big ben encanto de fresa 55 g,Big Ben,Confitería y Golosinas,7702993048900,Unidad,1,2.5,0
BIG COLA 400 ML,Big Cola,Bebidas,7750670014250,Unidad,1,1.0,0
Bimboletes  Chocochispas Bimbo 105 gr (x3),Bimbo,Panadería,7750727014288,Unidad,1,3.5,1
Bimboletes Chipas Chocolate 82.5 g (x3),Bimbo,Confitería y Golosinas,7750727012963,Unidad,1,3.5,0
Bimboletes Chocochips (x2) 70 g,Bimbo,Panadería,7750727014257,Unidad,1,2.5,0
Bimboletes Marmoleado (x2) 70 g,Bimbo,Panadería,7750727014240,Unidad,1,2.5,0
Bimboletes Marmoleado 82.5 g (x3),Bimbo,Panadería,,Unidad,1,3.5,0
Bimboletes Naranja (x2) 55 gr.,Bimbo,Panadería,7750727003831,Unidad,1,2.5,0
BIMBOLETES VAINILLA (X2) 70 G,Bimbo,Panadería,7750727014233,Unidad,1,2.5,0
Bimboletes Vainilla 82.5 g (x3),Bimbo,Panadería,,Unidad,1,3.5,0
BIO AMAYU AGUAJE VIDRIO 300 ML,Bio Amayu,Bebidas,7750670019156,Unidad,1,3.0,0
Bio Amayu Aguaymanto 300 ml,Bio Amayu,Bebidas,7750670019187,Unidad,1,3.0,0
BIO AMAYU ARANDANO VIDRIO 300 ML,Bio Amayu,Bebidas,7750670019170,Unidad,1,3.0,0
Bio Amayu Camu Camu 300 ml,Bio Amayu,Bebidas,7750670019163,Unidad,1,3.0,0
Bio sabor Aloe Original 500 ml,Genérico,Bebidas,7750670017107,Unidad,1,3.0,0
Birra Baladin Leon Cerveza 330 ml,Birra Baladin,Licores y Cervezas,8032942299596,Unidad,1,1.0,0
Bizcocho c/chispas x und,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Bizcocho Cancun Costa 30 gr.,Costa,Confitería y Golosinas,7750885011303,Unidad,1,1.0,0
Bizcocho Chancay x UND (bol. 24),Genérico,Confitería y Golosinas,,Unidad,1,6.0,0
Bizcocho Chocolatazo x und,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Bizcocho Frutado x und,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Bizcocho relleno Mermelada x und,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
BLACK 1.500,Black,Bebidas,7751731006801,Unidad,1,4.5,1
Black Gaseosa 2 lt,Black,Bebidas,7751731998892,Unidad,1,6.0,0
Black Gaseosa 3 L,Black,Bebidas,7751731998700,Unidad,1,8.0,0
Black Gaseosa 400 ml,Black,Bebidas,7751731998809,Unidad,1,1.2,0
BLACK GASEOSA 600 ML,Black,Bebidas,7751731006832,Unidad,1,1.8,0
Bloqueador Bahia 90 SPF,Bahía,Cuidado Personal,7750215020883,Unidad,1,3.0,9
Bloqueador Nivea Sun 50 FPS sachet 9 gr,Nivea,Cuidado Personal,4005900894434,Unidad,1,2.8,8
Blue XL Pall Mall 20 und,Pall Mall,Cigarrillos y Vapes,,Unidad,1,1.0,0
Bob Break tableta 45 gr,Genérico,Confitería y Golosinas,7790580430436,Unidad,1,4.0,0
Boldo Del Valle 25 und,Del Valle,Abarrotes,7750520000181,Unidad,1,3.5,0
Bolsa  T-SHIRT 16x19 Pinguino 100 bolsas,Pinguino,Bazar y Otros,,Unidad,1,4.5,0
BOLSA 10X15 PINGUINO 100 BOLSAS,Pinguino,Bazar y Otros,,Unidad,1,1.4,0
Bolsa 12x13 cm Pinguino 100 bolsas,Pinguino,Bazar y Otros,,Unidad,1,1.0,0
Bolsa 12x16 Pinguino 100 und,Pinguino,Bazar y Otros,,Unidad,1,1.0,0
Bolsa 12x17 Pinguino 100 bolsas,Pinguino,Bazar y Otros,,Unidad,1,2.4,0
